###### Глаголы &nbsp;•&nbsp; Сильные

# Группа 3

---

## 3:&emsp;%[m|e] - %[m|a] - %[m|o]

|brechen brach gebrochen|bricht&emsp;•&emsp;haben / sein|ломать
|helfen half geholfen|hilft&emsp;•&emsp;haben|помогать
|nehmen nahm genommen|nimmt&emsp;•&emsp;haben|брать
|sprechen sprach gesprochen|spricht&emsp;•&emsp;haben|говорить
|treffen traf getroffen|trifft&emsp;•&emsp;haben|встречать
|werfen warf geworfen|wirft&emsp;•&emsp;haben|кидать

|befehlen befahl befohlen|befiehlt&emsp;•&emsp;haben|приказывать
|bergen barg geborgen|birgt&emsp;•&emsp;haben|спасать
|bersten barst geborsten|birst&emsp;•&emsp;sein|лопнуть
|empfehlen empfahl empfohlen|empfiehlt&emsp;•&emsp;haben|рекомендовать
|gelten galt gegolten|gilt&emsp;•&emsp;haben|стоить, цениться
|schrecken schrak schrocken|schrickt&emsp;•&emsp;sein|страшить; вспугивать
|schelten schalt gescholten|schilt&emsp;•&emsp;haben|бранить
|schrecken schrak geschrocken|schrickt&emsp;•&emsp;sein|пугаться
|stechen stach gestochen|sticht&emsp;•&emsp;sein|колоть
|stehlen stahl gestohlen|stiehlt&emsp;•&emsp;haben|воровать
|sterben starb gestorben|stirbt&emsp;•&emsp;sein|умирать
|verderben verdarb verdorben|verdirbt&emsp;•&emsp;haben / sein|портить
|werben warb geworben|wirbt&emsp;•&emsp;haben|рекламировать

---
