# A1 - 012 - die Substantive


|der Handwerker|des Handwerkers&emsp;die Handwerker|мастер

|die Stadt|der Stadt&emsp;die Städte|город

|die Waschmaschine|der Waschmaschine&emsp;die Waschmaschinen|стиральная машина

|die Wolke|der Wolke&emsp;die Wolken|облако

|die Tasse|der Tasse&emsp;die Tassen|чашка

|die Mutter|der Mutter&emsp;die Mütter|мать

|der Sommer|des Sommers&emsp;die Sommer|лето

|der Schmuck|des Schmucks&emsp;die Schmucke|украшение

|die Decke|der Decke&emsp;die Decken|одеяло

|der Onkel|des Onkels&emsp;die Onkel|дядя
