# A1 - 013 - die Substantive


|der Boden|des Bodens&emsp;die Böden|пол

|der Bürostuhl|des Bürostuhles&emsp;die Bürostühle|офисный стул

|die Aufgabe|der Aufgabe&emsp;die Aufgaben|задание

|das Loch|des Loches&emsp;die Löcher|дыра

|das Beispiel|des Beispiels&emsp;die Beispiele|пример

|der Rahmen|des Rahmens&emsp;die Rahmen|рама

|der Autor|des Autors&emsp;die Autoren|автор

|der Brief|des Briefes&emsp;die Briefe|письмо

|die Dame|der Dame&emsp;die Damen|дама

|der Frühling|des Frühlings&emsp;die Frühlinge|весна
