# A1 - 015 - die Substantive


|die Lampe|der Lampe&emsp;die Lampen|лампа

|die Orange|der Orange&emsp;die Orangen|апельсин

|das Paar|des Paares&emsp;die Paare|пара

|der Kuchen|des Kuchens&emsp;die Kuchen|пирог

|der Mantel|des Mantels&emsp;die Mäntel|пальто

|die Ecke|der Ecke&emsp;die Ecken|угол

|das Geschenk|des Geschenkes&emsp;die Geschenke|подарок

|das Messer|des Messers&emsp;die Messer|нож

|die Sekunde|der Sekunde&emsp;die Sekunden|секунда

|der Kalender|des Kalenders&emsp;die Kalender|календарь
