# A1 - 016 - die Substantive


|das Schwein|des Schweines&emsp;die Schweine|свинья

|das Regal|des Regals&emsp;die Regale|стеллаж

|die Fliege|der Fliege&emsp;die Fliegen|муха

|der Notizblock|des Notizblockes&emsp;die Notizblöcke|блокнот

|die Frucht|der Frucht&emsp;die Früchte|фрукт

|die Klasse|der Klasse&emsp;die Klassen|класс

|der Vater|des Vaters&emsp;die Väter|отец

|der Sport|des Sportes&emsp;die Sporte|спорт

|das Jahr|des Jahres&emsp;die Jahre|год

|die Gardine|der Gardine&emsp;die Gardinen|занавеска
