# A1 - 019 - die Substantive


|der Ingenieur|des Ingenieurs&emsp;die Ingenieure|инженер

|die Schere|der Schere&emsp;die Scheren|ножницы

|das Wochenende|des Wochenendes&emsp;die Wochenenden|выходные

|das Fach|des Faches&emsp;die Fächer|предмет

|der Cousin|des Cousins&emsp;die Cousins|двоюродный брат

|das Dorf|des Dorfes&emsp;die Dörfer|деревня

|der Dollar|des Dollars&emsp;die Dollars|доллар

|das Zimmer|des Zimmers&emsp;die Zimmer|комната

|das Weihnachten|des Weihnachts&emsp;die Weihnachten|Рождество

|der Freund|des Freundes&emsp;die Freunde|друг
