# A1 - 025 - die Substantive


|das Schlafzimmer|des Schlafzimmers&emsp;die Schlafzimmer|спальня

|die Adresse|der Adresse&emsp;die Adressen|адрес

|der Computer|des Computers&emsp;die Computer|компьютер

|der Tiger|des Tigers&emsp;die Tiger|тигр

|die Ferien|der Ferien&emsp;die Ferien|каникулы

|das Bett|des Bettes&emsp;die Betten|кровать

|die Besprechung|der Besprechung&emsp;die Besprechungen|совещание

|die Steckdose|der Steckdose&emsp;die Steckdosen|розетка

|das Auto|des Autos&emsp;die Autos|автомобиль

|die Torte|der Torte&emsp;die Torten|торт
