# A1 - 026 - die Substantive


|der Fahrer|des Fahrers&emsp;die Fahrer|водитель

|der Silvester|des Silvesters&emsp;die Silvester|Новый год

|der Flur|des Flures&emsp;die Flure|коридор

|die Küche|der Küche&emsp;die Küchen|кухня

|die Briefmarke|der Briefmarke&emsp;die Briefmarken|марка

|das Bad|des Bades&emsp;die Bäder|ванная

|die Dusche|der Dusche&emsp;die Duschen|душ

|der Berg|des Berges&emsp;die Berge|гора

|die Prüfung|der Prüfung&emsp;die Prüfungen|экзамен

|die Kommode|der Kommode&emsp;die Kommoden|комод
