# A1 - 034 - die Substantive


|die Jacke|der Jacke&emsp;die Jacken|куртка

|der Unterricht|des Unterrichtes&emsp;die Unterrichte|урок

|der Bus|des Busses&emsp;die Busse|автобус

|die Entscheidung|der Entscheidung&emsp;die Entscheidungen|решение

|die Maschine|der Maschine&emsp;die Maschinen|машина

|der Direktor|des Direktors&emsp;die Direktoren|директор

|das Fahrrad|des Fahrrades&emsp;die Fahrräder|велосипед

|der Stein|des Steines&emsp;die Steine|камень

|der Mond|des Mondes&emsp;die Monde|луна

|die Energie|der Energie&emsp;die Energien|энергия
