# A2 - 036 - die Substantive


|die Agentur|der Agentur&emsp;die Agenturen|агентство

|die Ahnung|der Ahnung&emsp;die Ahnungen|представление

|die Allergie|der Allergie&emsp;die Allergien|аллергия

|das Altenheim|des Altenheimes&emsp;die Altenheime|дом престарелых

|die Alternative|der Alternative&emsp;die Alternativen|альтернатива

|die Ampel|der Ampel&emsp;die Ampeln|светофор

|der Anfänger|des Anfängers&emsp;die Anfänger|новичок

|die Ankunft|der Ankunft&emsp;die Ankünfte|прибытие

|die Anmeldung|der Anmeldung&emsp;die Anmeldungen|регистрация

|der Anruf|des Anrufs&emsp;die Anrufe|звонок
