# A2 - 038 - die Substantive


|der Aufenthalt|des Aufenthaltes&emsp;die Aufenthalte|пребывание

|der Ausflug|des Ausfluges&emsp;die Ausflüge|экскурсия

|die Ausstellung|der Ausstellung&emsp;die Ausstellungen|выставка

|die Auskunft|der Auskunft&emsp;die Auskünfte|справка

|die Aussage|der Aussage&emsp;die Aussagen|заявление

|der Ausweis|des Ausweises&emsp;die Ausweise|удостоверение

|der Automat|des Automaten&emsp;die Automaten|автомат

|die Banane|der Banane&emsp;die Bananen|банан

|der Benutzername|des Benutzernamens&emsp;die Benutzernamen|имя пользователя

|die Benzin|der Benzin&emsp;die Benzine|бензин
