# A2 - 042 - die Substantive


|die Gelegenheit|der Gelegenheit&emsp;die Gelegenheiten|возможность

|das Gerät|des Geräts&emsp;die Geräte|прибор

|das Gericht|des Gerichts&emsp;die Gerichte|блюдо

|die Gesellschaft|der Gesellschaft&emsp;die Gesellschaften|общество

|die Gewinner|der Gewinner&emsp;die Gewinner|победитель

|das Gleis|des Gleises&emsp;die Gleise|путь

|die Größe|der Größe&emsp;die Größen|размер

|der Gruß|des Grußes&emsp;die Grüße|приветствие

|der Gürtel|des Gürtels&emsp;die Gürtel|пояс

|die Hähnchen|der Hähnchen&emsp;die Hähnchen|цыпленок
