# A2 - 044 - die Substantive


|der Januar|des Januars&emsp;die Januare|январь

|der Juli|des Julis&emsp;die Julis|июль

|der Juni|des Junis&emsp;die Junis|июнь

|die Jugendherberge|der Jugendherberge&emsp;die Jugendherbergen|молодежный хостел

|der Kakao|des Kakaos&emsp;die Kakaos|какао

|die Kamera|der Kamera&emsp;die Kameras|камера

|der Karneval|des Karnevals&emsp;die Karnevale|карнавал

|die Käse|der Käse&emsp;die Käse|сыр

|die Kellner|der Kellner&emsp;die Kellner|официант

|der Kiosk|des Kioskes&emsp;die Kioske|киоск
