# A2 - 048 - die Substantive


|das Abendessen|des Abendessens&emsp;die Abendessen|ужин

|der Absender|des Absenders&emsp;die Absender|отправитель

|der Akku|des Akkus&emsp;die Akkus|аккумулятор

|die Aktion|der Aktion&emsp;die Aktionen|акция

|die Aktivität|der Aktivität&emsp;die Aktivitäten|активность

|der Alkohol|des Alkohols&emsp;die Alkohole|алкоголь

|das Altenheim|des Altenheims&emsp;die Altenheime|дом престарелых

|das Amt|des Amtes&emsp;die Ämter|ведомство

|die Anleitung|der Anleitung&emsp;die Anleitungen|инструкция

|der Anruf|des Anrufes&emsp;die Anrufe|звонок
