# A2 - 055 - die Substantive


|der Enkel|des Enkels&emsp;die Enkel|внук

|der Empfang|des Empfangs&emsp;die Empfänge|прием

|die Erdkunde|der Erdkunde&emsp;die Erdkunden|география

|das Ereignis|des Ereignisses&emsp;die Ereignisse|событие

|das Erfrischungsgetränk|des Erfrischungsgetränkes&emsp;die Erfrischungsgetränke|освежающий напиток

|die Ernährung|der Ernährung&emsp;die Ernährungen|питание

|die Ernte|der Ernte&emsp;die Ernten|урожай

|der Ernst|des Ernstes&emsp;die Ernste|серьезность

|das Erlebnis|des Erlebnisses&emsp;die Erlebnisse|переживание

|das Ergebnis|des Ergebnisses&emsp;die Ergebnisse|результат
