# A2 - 059 - die Substantive


|der Gratulation|des Gratulation&emsp;die Gratulationen|поздравление

|das Gras|des Grases&emsp;die Gräser|трава

|die Grenze|der Grenze&emsp;die Grenzen|граница

|die Grippe|der Grippe&emsp;die Grippen|грипп

|das Hähnchen|des Hähnchens&emsp;die Hähnchen|цыпленок

|der Händler|des Händlers&emsp;die Händler|торговец

|der Hauptbahnhof|des Hauptbahnhofs&emsp;die Hauptbahnhöfe|главный вокзал

|die Hauptstadt|der Hauptstadt&emsp;die Hauptstädte|столица

|das Haustier|des Haustieres&emsp;die Haustiere|домашнее животное

|das Heft|des Heftes&emsp;die Hefte|тетрадь
