# A2 - 064 - die Substantive


|der Montag|des Montags&emsp;die Montage|понедельник

|der Motor|des Motors&emsp;die Motoren|мотор

|die Münze|der Münze&emsp;die Münzen|монета

|der Musiker|des Musikers&emsp;die Musiker|музыкант

|die Musikschule|der Musikschule&emsp;die Musikschulen|музыкальная школа

|die Nadel|der Nadel&emsp;die Nadeln|игла

|die Nachricht|der Nachricht&emsp;die Nachrichten|новость

|der Nachtisch|des Nachtisches&emsp;die Nachtische|десерт

|der Nachweis|des Nachweises&emsp;die Nachweise|доказательство

|das Netz|des Netzes&emsp;die Netze|сеть
