# B1 - 066 - die Substantive


|das Metall|des Metalls&emsp;die Metalle|металл

|die Richtung|der Richtung&emsp;die Richtungen|направление

|die Garage|der Garage&emsp;die Garagen|гараж

|der Reiseführer|des Reiseführers&emsp;die Reiseführer|гид

|der Punkt|des Punktes&emsp;die Punkte|точка

|der Abwart|des Abwarts&emsp;die Abwarte|швейцар

|die Abwesenheit|der Abwesenheit&emsp;die Abwesenheiten|отсутствие

|die Dosis|der Dosis&emsp;die Dosen|доза

|das Fazit|des Fazits&emsp;die Fazite|вывод

|der Preis|des Preises&emsp;die Preise|цена
