# B1 - 068 - die Substantive


|das Klavier|des Klaviers&emsp;die Klaviere|пианино

|der Arm|des Armes&emsp;die Arme|рука

|die Arbeit|der Arbeit&emsp;die Arbeiten|работа

|die Ausbildung|der Ausbildung&emsp;die Ausbildungen|обучение

|der Absatz|des Absatzes&emsp;die Absätze|абзац

|die Entdeckung|der Entdeckung&emsp;die Entdeckungen|открытие

|die Absage|der Absage&emsp;die Absagen|отказ

|die Garantie|der Garantie&emsp;die Garantien|гарантия

|die Partnerschaft|der Partnerschaft&emsp;die Partnerschaften|партнёрство

|die Ausgabe|der Ausgabe&emsp;die Ausgaben|издание
