# B1 - 071 - die Substantive


|der Raum|des Raumes&emsp;die Räume|комната

|das Gebäude|des Gebäudes&emsp;die Gebäude|здание

|der Anteil|des Anteils&emsp;die Anteile|доля

|das Recht|des Rechtes&emsp;die Rechte|право

|der Dozent|des Dozenten&emsp;die Dozenten|преподаватель

|der Antrag|des Antrags&emsp;die Anträge|заявление

|das Eigentum|des Eigentums&emsp;die Eigentümer|собственность

|der Rabatt|des Rabattes&emsp;die Rabatte|скидка

|die Aprikose|der Aprikose&emsp;die Aprikosen|абрикос

|die Backe|der Backe&emsp;die Backen|щека
