# B1 - 073 - die Substantive


|die Mahlzeit|der Mahlzeit&emsp;die Mahlzeiten|прием пищи

|der Meister|des Meisters&emsp;die Meister|мастер

|das Parlament|des Parlaments&emsp;die Parlamente|парламент

|die Dose|der Dose&emsp;die Dosen|банка

|die Kufe|der Kufe&emsp;die Kufeni|плоскость (лыжи)

|der Alarm|des Alarms&emsp;die Alarme|сигнал тревоги

|die Ambulanz|der Ambulanz&emsp;die Ambulanzen|скорая помощь

|das Möbel|des Möbels&emsp;die Möbel|мебель

|das Kostüm|des Kostüms&emsp;die Kostüme|костюм

|die Gefahr|der Gefahr&emsp;die Gefahren|опасность
