# B2 - 090 - die Substantive


|die Regel|der Regel&emsp;die Regeln|правило

|die Bedingung|der Bedingung&emsp;die Bedingungen|условие

|die Interaktion|der Interaktion&emsp;die Interaktionen|взаимодействие

|die Förderung|der Förderung&emsp;die Förderungen|поощрение

|die Restrukturierung|der Restrukturierung&emsp;die Restrukturierungen|реструктуризация

|das Risiko|des Risikos&emsp;die Risiken|риск

|der Test|des Tests&emsp;die Tests|тест

|die Nachrichten|der Nachrichten&emsp;die Nachrichten|новости

|die Initiative|der Initiative&emsp;die Initiativen|инициатива

|die Bewertung|der Bewertung&emsp;die Bewertungen|оценка
