# B2 - 097 - die Substantive


|die Bevölkerung|der Bevölkerung&emsp;die Bevölkerungen|население

|das Tempo|des Tempos&emsp;die Tempos|темп

|der Konsum|des Konsums&emsp;die Konsumtion|потребление

|die Wissenschaft|der Wissenschaft&emsp;die Wissenschaften|наука

|das Zeugnis|des Zeugnisses&emsp;die Zeugnisse|свидетельство

|die Vereinbarung|der Vereinbarung&emsp;die Vereinbarungen|соглашение

|die Auswirkung|der Auswirkung&emsp;die Auswirkungen|воздействие

|der Bedarf|des Bedarfs&emsp;die Bedarfe|потребность

|die Verarbeitung|der Verarbeitung&emsp;die Verarbeitungen|обработка

|die Förderung|der Förderung&emsp;die Förderungen|поддержка
