# B2 - 099 - die Substantive


|der Zugang|des Zugangs&emsp;die Zugänge|доступ

|der Trend|des Trends&emsp;die Trends|тренд

|der Zuschauer|des Zuschauers&emsp;die Zuschauer|зритель

|die Äußerung|der Äußerung&emsp;die Äußerungen|выражение

|der Geschmack|des Geschmacks&emsp;die Geschmäcke|вкус

|die Struktur|der Struktur&emsp;die Strukturen|структура

|der Kontakt|des Kontakts&emsp;die Kontakte|контакт

|die Optimierung|der Optimierung&emsp;die Optimierungen|оптимизация

|die Toleranz|der Toleranz&emsp;die Toleranzen|терпимость

|die Prognose|der Prognose&emsp;die Prognosen|прогноз
