# C1 - 102 - die Substantive


|die Durchführung|der Durchführung&emsp;die Durchführungen|выполнение

|der Höhepunkt|des Höhepunkts&emsp;die Höhepunkte|кульминация

|die Nachhaltigkeit|der Nachhaltigkeit&emsp;die Nachhaltigkeiten|устойчивость

|die Reflektion|der Reflektion&emsp;die Reflektionen|рефлексия

|die Verabschiedung|der Verabschiedung&emsp;die Verabschiedungen|принятие

|die Führungsposition|der Führungsposition&emsp;die Führungspositionen|руководящая должность

|die Eignung|der Eignung&emsp;die Eignungen|пригодность

|die Begrenzung|der Begrenzung&emsp;die Begrenzungen|ограничение

|die Anpassungsfähigkeit|der Anpassungsfähigkeit&emsp;die Anpassungsfähigkeiten|адаптивность

|die Projektplanung|der Projektplanung&emsp;die Projektplanungen|планирование проекта
