# C1 - 104 - die Substantive


|die Eindämmung|der Eindämmung&emsp;die Eindämmungen|сдерживание

|die Reflexion|der Reflexion&emsp;die Reflexionen|рефлексия

|die Innovationsfähigkeit|der Innovationsfähigkeit&emsp;die Innovationsfähigkeiten|инновационная способность

|die Nachvollziehbarkeit|der Nachvollziehbarkeit&emsp;die Nachvollziehbarkeiten|прослеживаемость

|die Arbeitsweise|der Arbeitsweise&emsp;die Arbeitsweisen|способ работы

|die Auseinandersetzung|der Auseinandersetzung&emsp;die Auseinandersetzungen|столкновение

|die Ergänzung|der Ergänzung&emsp;die Ergänzungen|дополнение

|das Umfeld|des Umfeldes&emsp;die Umfelder|окружение

|die Einwilligung|der Einwilligung&emsp;die Einwilligungen|согласие

|die Verknüpfung|der Verknüpfung&emsp;die Verknüpfungen|связь
