# C1 - 111 - die Substantive


|die Abgabe|der Abgabe&emsp;die Abgaben|сдача

|die Notwendigkeit|der Notwendigkeit&emsp;die Notwendigkeiten|необходимость

|die Vorgehensweise|der Vorgehensweise&emsp;die Vorgehensweisen|метод

|die Problematik|der Problematik&emsp;die Problematiken|проблематика

|die Festlegung|der Festlegung&emsp;die Festlegungen|определение

|die Innovationskraft|der Innovationskraft&emsp;die Innovationskräfte|инновационная сила

|die Qualitätssicherung|der Qualitätssicherung&emsp;die Qualitätssicherungen|обеспечение качества

|die Errungenschaft|der Errungenschaft&emsp;die Errungenschaften|достижение

|die Leistungskraft|der Leistungskraft&emsp;die Leistungskräfte|производственная мощь

|die Prozessoptimierung|der Prozessoptimierung&emsp;die Prozessoptimierungen|оптимизация процессов
