# C2 - 116 - die Substantive


|die Absurdität|der Absurdität&emsp;die Absurditäten|абсурдность

|die Skalierbarkeit|der Skalierbarkeit&emsp;die Skalierbarkeiten|масштабируемость

|die Prozedur|der Prozedur&emsp;die Prozeduren|процедура

|die Ermahnung|der Ermahnung&emsp;die Ermahnungen|напоминание

|die Durchlässigkeit|der Durchlässigkeit&emsp;die Durchlässigkeiten|проницаемость

|die Aufgeschlossenheit|der Aufgeschlossenheit&emsp;die Aufgeschlossenheiten|открытость

|die Beteuerung|der Beteuerung&emsp;die Beteuerungen|заверение

|die Konformität|der Konformität&emsp;die Konformitäten|соответствие

|die Irreführung|der Irreführung&emsp;die Irreführungen|введение в заблуждение

|die Bankrotterklärung|der Bankrotterklärung&emsp;die Bankrotterklärungen|объявление банкротства
