# C2 - 128 - die Substantive


|die Kapitulation|der Kapitulation&emsp;die Kapitulationen|капитуляция

|die Eigenverantwortung|der Eigenverantwortung&emsp;die Eigenverantwortungen|личная ответственность

|die Approbation|der Approbation&emsp;die Approbationen|утверждение

|die Infragestellung|der Infragestellung&emsp;die Infragestellungen|постановка под сомнение

|die Erhabenheit|der Erhabenheit&emsp;die Erhabenheiten|величие

|die Geduld|der Geduld&emsp;die Gedulden|терпение

|die Apologetik|der Apologetik&emsp;die Apologetiken|апологетика

|die Beharrlichkeit|der Beharrlichkeit&emsp;die Beharrlichkeiten|упорство

|die Echtheit|der Echtheit&emsp;die Echtheiten|подлинность

|die Belehrung|der Belehrung&emsp;die Belehrungen|наставление
