# 008 - Mots fréquents

|fait|fɛ, fɛt|сделанный
|tel|tɛl|такой
|le droit|dʁwa|право
|la question|kɛstjɔ̃|вопрос
|donc|dɔ̃k|значит
|quel|kɛl|какой?
|général|ʒeneʁal, -o|общий
|le moment|mɔmɑ̃|момент
|entendre|ɑ̃tɑ̃dʁ|слышать
|beaucoup|boku|много
|chaque|ʃak|каждый
|jeune|ʒœn|молодой
|le travail|tʁavaj, -o|работа
|la femme|fam|женщина
|attendre|atɑ̃dʁ|ждать
|remettre|ʁ(ə)mɛtʁ|ставить
|appeler|ap(ə)le|называть
|permettre|pɛʁmɛtʁ|разрешать
|occuper|ɔkype|занимать
|le gouvernement|guvɛʁnəmɑ̃|правительство
