# 009 - Mots fréquents

|eux|ø|они (отглагольное)
|devenir|dəv(ə)niʁ|становиться
|partir|paʁtiʁ|уезжать
|le plan|plɑ̃, plan|поверхность
|décider|deside|решать
|soit|swa|предположим, пусть будет
|ici|isi|здесь, тут
|rien|ʁjɛ̃|ничто, ничего
|le cours|kuʁ|течение
|la affaire|afɛʁ|дело
|le nom|nɔ̃|имя
|la famille|famij|семья
|le effet|efɛ|действие, результат, эффект
|arriver|aʁive|прибывать, приезжать
|possible|pɔsibl|возможный
|car|kaʁ|ибо
|servir|sɛʁviʁ|служить
|le mois|mwa|месяц
|jamais|ʒamɛ|никогда
|sembler|sɑ̃ble|казаться
