# 021 - Mots fréquents

|le objet|ɔbʒɛ|объект
|unique|ynik|уникальный
|souhaiter|swete|желать
|afin que|afɛ| для того, чтобы
|la peine|pɛn|наказание
|malgré|malgʁe|несмотря на
|la période|peʁjɔd|период
|engager|ɑ̃gaʒe|закладывать
|réaliser|ʁealize|реализовать
|parfois|paʁfwa|порой
|lors|lɔʁ|тогда
|sérieux|seʁjø, -jøz|серьёзный
|aider|ede|помогать
|la voix|vwɑ|голос
|terminer|tɛʁmine|кончать
|la base|bɑz|основание
|espérer|ɛspeʁe|надеяться
|la main|majn|рука
|gros|gʁo, gʁos|толстый
|arrêter|aʁete|останавливать
