# 022 - Mots fréquents

|le retour|ʁ(ə)tuʁ|возвращение
|prêt|pʁɛ|готовый
|la occasion|ɔkazjɔ̃|случай
|le député|depyte|депутат
|regarder|ʁ(ə)gaʁde|глядеть
|plupart|plypaʁ|большинство
|deuxième|døzjɛm|второй
|le résultat|ʁezylta|результат
|écouter|ekute|слушать
|la terre|tɛʁ|земля
|valoir|valwaʁ|ценить
|le dollar|dɔlaʁ|доллар
|intérieur|ɛ̃teʁjœʁ|внутренний
|la page|paʒ|страница
|la confiance|kɔ̃fjɑ̃s|доверие
|le choix|ʃwa|выбор
|prévoir|pʁevwaʁ|предвидеть
|la chance|ʃɑ̃s|удача
|notamment|nɔtamɑ̃|именно
|le type|tip|тип
