# 027 - Mots fréquents

|annoncer|anɔ̃se|объявлять
|lui|lɥi|ему
|la tour|tuʁ|башня
|voilà|vwala|вот
|la volonté|vɔlɔ̃te|воля
|envoyer|ɑ̃vwaje|посылать
|partager|paʁtaʒe|делить
|puisque|pɥisk(ə)|потому что
|établir|etabliʁ|основывать
|le changement|ʃɑ̃ʒmɑ̃|перемена
|garder|gaʁde|хранить
|la réalité|ʁealite|реальность
|interdire|ɛ̃tɛʁdiʁ|запрещать
|finir|finiʁ|кончать
|placer|plase|помещать
|sentir|sɑ̃tiʁ|чувствовать
|payer|peje|платить
|le esprit|ɛspʁi|дух
|le domaine|dɔmɛn|владение
|diriger|diʁiʒe|управлять
