# 034 - Mots fréquents

|énorme|enɔʁm|огромный
|conserver|kɔ̃sɛʁve|хранить
|réel|ʁeɛl|реальный
|la campagne|kɑ̃paɲ|поле
|naître|nɛtʁ|рождаться
|accorder|akɔʁde|согласовывать
|tourner|tuʁne|вертеть
|participer|paʁtisipe|участвовать
|vieux|vjø, vjɛj|старый
|rapide|ʁapid|быстрый
|respecter|ʁɛspɛkte|уважать
|le passage|pɑsaʒ|переход
|essentiel|esɑ̃sjɛl|существенный
|adopter|adɔpte|усыновить
|subir|sybiʁ|подвергаться
|environ|ɑ̃viʁɔ̃|около
|la expérience|ɛkspeʁjɑ̃s|опыт
|admettre|admɛtʁ|допускать
|découvrir|dekuvʁiʁ|раскрывать
|couvrir|kuvʁiʁ|закрывать
