# 042 - Mots fréquents

|augmenter|ɔgmɑ̃te|увеличивать
|réunir|ʁeyniʁ|соединять
|la impression|ɛ̃pʁesjɔ̃|впечатление
|le octobre|ɔktɔbʁ|октябрь
|le médecin|med(ə)sɛ̃|врач
|fédéral|fedeʁal, -o|федеральный
|la police|pɔlis|полиция
|le coût|ku|стоимость
|la formation|fɔʁmasjɔ̃|созидание
|le contrat|kɔ̃tʁa|контракт
|normal|nɔʁmal, -o|нормальный
|la attitude|atityd|отношение
|la faute|fot|ошибка
|la série|seʁi|серия
|lever|l(ə)ve|поднимать
|proche|pʁɔʃ|близкий
|direct|diʁɛkt|прямой
|imaginer|imaʒine|воображать
|figurer|figyʁe|изображать
|pratique|pʁatik|практический
