# 045 - Mots fréquents

|limiter|limite|ограничивать
|justifier|ʒystifje|оправдывать
|le agent|aʒɑ̃|агент
|le sentiment|sɑ̃timɑ̃|чувство
|la tâche|tɑʃ|задача
|directement|diʁɛktəmɑ̃|прямо
|euh|ˈø|э!, да? гм]
|raconter|ʁakɔ̃te|рассказывать
|le décembre|desɑ̃bʁ|декабрь
|développer|dev(ə)lɔpe|развёртывать
|honorable|ɔnɔʁabl|почтенный
|le contact|kɔ̃takt|контакт
|conclure|kɔ̃klyʁ|заключать
|le fruit|fʁɥi|фрукт
|ouvert|uvɛʁ, -t|открытый
|le investissement|ɛ̃vɛstismɑ̃|окружение
|insister|ɛ̃siste|настаивать на
|le avantage|avɑ̃taʒ|выгода
|la garde|gaʁd|охрана
|historique|istɔʁik|исторический
