# 051 - Mots fréquents

|utile|ytil|полезный
|inscrire|ɛ̃skʁiʁ|вписывать
|la concurrence|kɔ̃kyʁɑ̃s|соперничество
|la déclaration|deklaʁasjɔ̃|заявление
|rejoindre|ʁəʒwɛ̃dʁ|соединять
|mille|mil|тысяча
|absolument|apsɔlymɑ̃|абсолютно
|la prison|pʁizɔ̃|тюрьма
|la armée|aʁme|армия
|le revenu|ʁ(ə)vəny|доход
|complètement|kɔ̃plɛtmɑ̃|полностью
|confirmer|kɔ̃fiʁme|подтверждать
|le salaire|salɛʁ|зарплата
|la lecture|lɛktyʁ|чтение
|contribuer|kɔ̃tʁibɥe|способствовать
|attaquer|atake|атаковать
|la table|tabl|стол
|remonter|ʁ(ə)mɔ̃te|подниматься вновь
|certes|sɛʁt|разумеется
|le avril|avʁil|апрель
