# 060 - Mots fréquents

|égal|egal, -o|равный
|la promesse|pʁɔmɛs|обещание
|entretenir|ɑ̃tʁət(ə)niʁ|содержать
|habiter|abite|проживать
|le quartier|kaʁtje|четверть
|le avocat|avɔka, -t|адвокат
|accueillir|akœjiʁ|встречать
|libérer|libeʁe|освобождать
|vivant|vivɑ̃, -t|живой
|la université|ynivɛʁsite|университет
|rire|ʁiʁ|смеяться
|facilement|fasilmɑ̃|легко
|la crainte|kʁɛ̃t|опасение
|commettre|kɔmɛtʁ|совершать
|précisément|pʁesizemɑ̃|точно
|le soutien|sutjɛ̃|опора
|la urgence|yʁʒɑ̃s|срочность
|la clé|kle|ключ
|enlever|ɑ̃l(ə)ve|поднимать
|jeter|ʒ(ə)te|бросать
