# 067 - Mots fréquents

|le juge|ʒyʒ|судья
|après|apʁɛ|после
|russe|ʁys|русский
|le juillet|ʒɥijɛ|июль
|ordinaire|ɔʁdinɛʁ|обыкновенный
|le candidat|kɑ̃dida, -t|кандидат
|rapprocher|ʁapʁɔʃe|приближать
|la résistance|ʁezistɑ̃s|сопротивление
|fier|fjɛʁ|гордый
|justement|ʒystəmɑ̃|справедливо
|le habitant|abitɑ̃, -t|житель
|la formule|fɔʁmyl|формула
|le mur|myʁ|стена
|le tribunal|tʁibynal, -o|трибунал
|le journaliste|ʒuʁnalist|журналист
|manger|mɑ̃ʒe|есть
|soulever|sul(ə)ve|приподнимать
|évidemment|evidamɑ̃|очевидно
|le travailleur|tʁavajœʁ, -øz|работник
|la résolution|ʁezɔlysjɔ̃|решение
