# 068 - Mots fréquents

|dirigeant|diʁiʒɑ̃, -t|правящий
|la marque|maʁk|знак
|la utilisation|ytilizasjɔ̃|использование
|la offre|ɔfʁ|предложение
|habituel|abitɥɛl|обычный
|survivre|syʁvivʁ|выживать
|populaire|pɔpylɛʁ|народный
|la constitution|kɔ̃stitysjɔ̃|конституция
|la participation|paʁtisipasjɔ̃|участие
|la évolution|evɔlysjɔ̃|эволюция
|totalement|tɔtalmɑ̃|тотально
|gérer|ʒeʁe|управлять
|le samedi|samdi|суббота
|informer|ɛ̃fɔʁme|информировать
|fou|fu, fɔl|сумасшедший
|attacher|ataʃe|прикреплять
|renouveler|ʁ(ə)nuv(ə)le|обновлять
|asseoir|aswaʁ|сажать
|oh|o|о]
|le transfert|tʁɑ̃sfɛʁ|перенесение
