# 076 - Mots fréquents

|arrière|aʁjɛʁ|назад
|la vision|vizjɔ̃|зрение
|investir|ɛ̃vɛstiʁ|инвестировать
|diminuer|diminɥe|уменьшать
|réfugier|ʁefyʒje|укрываться
|entourer|ɑ̃tuʁe|окружать
|juif|ʒɥif, -v|еврейский
|considérable|kɔ̃sideʁabl|значительный
|la conduite|kɔ̃dɥit|сопровождение
|la convention|kɔ̃vɑ̃sjɔ̃|конвенция
|communiquer|kɔmynike|коммуникировать
|prolonger|pʁɔlɔ̃ʒe|удлинять
|verser|vɛʁse|лить
|la évidence|evidɑ̃s|очевидность
|essentiellement|esɑ̃sjɛlmɑ̃|существенно
|démontrer|demɔ̃tʁe|демонстрировать
|négatif|negatif, -v|отрицательный
|la approche|apʁɔʃ|приближение
|le délai|delɛ|задержка
|accroître|akʁwatʁ|приумножать
