# 091 - Mots fréquents

|mentionner|mɑ̃sjɔne|упоминать
|la exécution|ɛgzekysjɔ̃|исполнение
|distinguer|distɛ̃ge|различать
|exploiter|ɛksplwate|эксплуатировать
|administratif|administʁatif, -v|административный
|effectif|efɛktif, -v|действительный
|communautaire|kɔmynotɛʁ|коммунальный
|individuel|ɛ̃dividɥɛl|индивидуальный
|faciliter|fasilite|способствовать
|original|ɔʁiʒinal, -o|оригинальный
|la surprise|syʁpʁiz|сюрприз
|veiller|veje|бодрствовать
|la dette|dɛt|долг
|la capitale|kapital|столица
|le maintien|mɛ̃tjɛ̃|поддержка
|chanter|ʃɑ̃te|петь
|la pension|pɑ̃sjɔ̃|пенсия
|la revue|ʁ(ə)vy|ревю
|clore|klɔʁ|запирать
|la neige|nɛʒ|снег
