# 117 - Mots fréquents

|purement|pyʁmɑ̃|чисто
|le enjeu|ɑ̃ʒø|ставка
|passager|pɑsaʒe, -ɛʁ|проходящий
|la transformation|tʁɑ̃sfɔʁmasjɔ̃|трансформация
|calculer|kalkyle|считать
|la misère|mizɛʁ|нищета
|légèrement|leʒɛʁmɑ̃|легко
|écraser|ekʁɑze|давить
|enrichir|ɑ̃ʁiʃiʁ|обогащать
|le restaurant|ʁɛstɔʁɑ̃|ресторан
|le destin|dɛstɛ̃|судьба
|la discrimination|diskʁiminasjɔ̃|дискриминация
|la certitude|sɛʁtityd|уверенность
|la huile|ɥil|масло
|sacré|sakʁe|священный
|la autonomie|ɔtɔnɔmi|автономия
|le sac|sak|мешок
|le stock|stɔk|запас
|invoquer|ɛ̃vɔke|призывать
|compromettre|kɔ̃pʁɔmɛtʁ|компрометировать
