# 129 - Mots fréquents

|brillant|bʁijɑ̃, -t|блестящий
|le pacte|pakt|пакт
|suspect|syspɛ(kt), -t|подозрительный
|lent|lɑ̃, -t|медленный
|la assistance|asistɑ̃s|помощь
|négliger|negliʒe|пренебрегать
|injuste|ɛ̃ʒyst|несправедливый
|plaider|plede|судиться
|récompenser|ʁekɔ̃pɑ̃se|награждать
|la suppression|sypʁesjɔ̃|отмена
|la coupure|kupyʁ|разрез
|la glace|glas|лёд
|la gare|gaʁ|станция
|le drapeau|dʁapo|знамя
|réparer|ʁepaʁe|исправлять
|la sensibilité|sɑ̃sibilite|чувствительность
|jaune|ʒon|жёлтый
|existant|ɛgzistɑ̃, -t|существующий
|le procureur|pʁɔkyʁœʁ|прокурор
|informatique|ɛ̃fɔʁmatik|информатика
