# 136 - Mots fréquents

|rural|ʁyʁal, -o|сельский
|persister|pɛʁsiste|упорствовать
|la coalition|kɔalisjɔ̃|коалиция
|diplomatique|diplɔmatik|дипломатический
|la excellence|ɛkselɑ̃s|превосходство
|la apparence|apaʁɑ̃s|внешность
|oriental|ɔʁjɑ̃tal, -o|восточный
|la écriture|ekʁityʁ|писание
|le parcours|paʁkuʁ|пробег
|républicain|ʁepyblikɛ̃, -ɛn|республиканский
|embarquer|ɑ̃baʁke|грузить
|la révolte|ʁevɔlt|бунт
|intéressé|ɛ̃teʁese|заинтересованный
|formidable|fɔʁmidabl|громадный
|le tas|tɑ|куча
|déjeuner|deʒœne|завтракать
|disputer|dispyte|спорить
|la élite|elit|элита
|le malheur|malœʁ|несчастье
|la aube|ob|рассвет
