# 138 - Mots fréquents

|pointer|pwɛ̃te|отмечать
|assassiner|asasine|убивать
|optimiste|ɔptimist|оптимистический
|instaurer|ɛ̃stɔʁe|устраивать
|isolé|izɔle|уединённый
|revendiquer|ʁ(ə)vɑ̃dike|требовать
|secouer|s(ə)kwe|трясти
|bizarre|bizaʁ|странный
|le abus|aby|злоупотребление
|le procédé|pʁɔsede|процесс
|le pêcheur|pɛʃœʁ, -øz|рыбак
|le amateur|amatœʁ, -ʁis|любитель
|le regret|ʁ(ə)gʁɛ|сожаление
|le accroissement|akʁwasmɑ̃|приумножение
|le trimestre|tʁimɛstʁ|триместр
|la onde|ɔ̃d|волна
|spatial|spasjal, -jo|пространственный
|brut|bʁyt|сырой
|éventuellement|evɑ̃tɥɛlmɑ̃|при случае
|la vache|vaʃ|корова
