# 141 - Mots fréquents

|la reine|ʁɛn|королева
|la privatisation|pʁivatizasjɔ̃|приватизация
|la correspondance|kɔʁɛspɔ̃dɑ̃s|соответствие
|planter|plɑ̃te|сажать
|strictement|stʁiktəmɑ̃|строго
|la violation|vjɔlasjɔ̃|нарушение
|la compensation|kɔ̃pɑ̃sasjɔ̃|компенсация
|le lycée|lise|лицей
|le con|kɔ̃, kɔn|дурак
|la combinaison|kɔ̃binɛzɔ̃|комбинация
|la injustice|ɛ̃ʒystis|несправедливость
|le reportage|ʁ(ə)pɔʁtaʒ|репортаж
|la déception|desɛpsjɔ̃|разочарование
|soucier|susje|беспокоить
|le plafond|plafɔ̃|потолок
|le opérateur|ɔpeʁatœʁ, -ʁis|хирург
|le camarade|kamaʁad|товарищ
|la traduction|tʁadyksjɔ̃|перевод
|la compréhension|kɔ̃pʁeɑ̃sjɔ̃|понимание
|la réglementation|ʁɛgləmɑ̃tasjɔ̃|регламентация
