# 144 - Mots fréquents

|prédire|pʁediʁ|предсказывать
|enterrer|ɑ̃teʁe|зарывать
|le refuge|ʁ(ə)fyʒ|убежище
|recouvrir|ʁ(ə)kuvʁiʁ|покрывать (вновь)
|la pente|pɑ̃t|склон
|le album|albɔm|альбом
|mixte|mikst|смешанный
|clinique|klinik|клинический
|le spectateur|spɛktatœʁ, -ʁis|зритель
|le axe|aks|ось
|le chasseur|ʃasœʁ, -øz|охотник
|chéri|ʃeʁi|дорогой
|la peinture|pɛ̃tyʁ|живопись
|le déchet|deʃɛ|убыль
|siéger|sjeʒe|находиться
|grand|gʁɑ̃, gʁɑ̃d|большой
|temporaire|tɑ̃pɔʁɛʁ|временный
|la affiche|afiʃ|афиша
|le massacre|masakʁ|бойня
|la actualité|aktɥalite|действительность
