# 151 - Mots fréquents

|le luxe|lyks|роскошь
|la nomination|nɔminasjɔ̃|назначение
|poster|pɔste|выставлять
|le bar|baʁ|бар
|tantôt|tɑ̃to|вскоре
|publiquement|pyblikmɑ̃|публично
|la gueule|gœl|пасть
|comparable|kɔ̃paʁabl|сравнимый
|la sympathie|sɛ̃pati|симпатия
|structurel|stʁyktyʁɛl|структурный
|dispenser|dispɑ̃se|распределять
|le copain|kɔpɛ̃|приятель
|aligner|aliɲe|выравнивать
|absorber|apsɔʁbe|абсорбировать
|le compagnon|kɔ̃paɲɔ̃|спутник
|le déroulement|deʁulmɑ̃|разматывание
|dévoiler|devwale|разоблачать
|opérationnel|ɔpeʁasjɔnɛl|оперативный
|freiner|fʁene|тормозить
|rattraper|ʁatʁape|поймать (вновь)
