# 155 - Mots fréquents

|la faillite|fajit|несостоятельность
|touchant|tuʃɑ̃, -e|трогательный
|hostile|ɔstil|враждебный
|imprimer|ɛ̃pʁime|отпечатывать
|abuser|abyze|злоупотреблять
|la vérification|veʁifikasjɔ̃|верификация
|aveugle|avœgl|слепой
|jurer|ʒyʁe|клясться
|le trésor|tʁezɔʁ|сокровище
|la vingtaine|vɛ̃tɛn|около двадцати
|la séquence|sekɑ̃s|последовательность
|le musicien|myzisjɛ̃, -jɛn|музыкант
|routier|ʁutje|дорожный
|embrasser|ɑ̃bʁase|обнимать
|la échéance|eʃeɑ̃s|срок платежа
|surplus|syʁply|остаток
|prématuré|pʁematyʁe|преждевременный
|décrocher|dekʁɔʃe|отцеплять
|rembourser|ʁɑ̃buʁse|возмещать
|adhérer|adeʁe|прилипать
