# 161 - Mots fréquents

|la divergence|divɛʁʒɑ̃s|дивергенция
|restant|ʁɛstɑ̃, -t|остающийся
|la détention|detɑ̃sjɔ̃|владение
|étouffer|etufe|душить
|la inscription|ɛ̃skʁipsjɔ̃|надпись
|la montée|mɔ̃te|восхождение
|le approvisionnement|apʁɔvizjɔnmɑ̃|снабжение
|la municipalité|mynisipalite|муниципалитет
|consécutif|kɔ̃sekytif, -v|последующий
|le nuage|nɥaʒ|облако
|institutionnel|ɛ̃stitysjɔnɛl|институционный
|la confédération|kɔ̃fedeʁasjɔ̃|конфедерация
|quiconque|kikɔ̃k|всякий кто
|le vendeur|vɑ̃dœʁ, -øz|продавец
|la réplique|ʁeplik|реплика
|acquitter|akite|уплачивать
|le intervalle|ɛ̃tɛʁval|интервал
|le métro|metʁo|метро
|la coutume|kutym|обычай
|fatiguer|fatige|утомлять
