# 165 - Mots fréquents

|silencieux|silɑ̃sjø, -jøz|молчаливый
|continu|kɔ̃tiny|постоянный
|le chantier|ʃɑ̃tje|стройплощадка
|la croyance|kʁwajɑ̃s|вера
|le ennui|ɑ̃nɥi|скука, неприятность
|le pompier|pɔ̃pje|пожарный
|la inspection|ɛ̃spɛksjɔ̃|инспекция
|convertir|kɔ̃vɛʁtiʁ|конвертировать
|le pouce|pus|большой палец, дюйм
|la clientèle|klijɑ̃tɛl|клиентура
|atténuer|atenɥe|приглушать
|la révélation|ʁevelasjɔ̃|разоблачение
|survivant|syʁvivɑ̃, -t|переживший
|applicable|aplikabl|применимый
|équitable|ekitabl|справедливый
|le schéma|ʃema|схема
|le acier|asje|сталь
|le vainqueur|vɛ̃kœʁ|победитель
|dépendant|depɑ̃dɑ̃, -t|зависимый
|sud-est|sydɛst|юго-восток
