# 167 - Mots fréquents

|spectaculaire|spɛktakylɛʁ|зрелищный
|la restructuration|ʁəstʁyktyʁasjɔ̃|реструктурирование
|la proie|pʁwɑ|добыча
|la domination|dɔminasjɔ̃|господство
|le otage|ɔtaʒ|заложник
|moquer|mɔke|высмеивать
|allier|alje|смешивать
|couvert|kuvɛʁ, -t|покрытый
|demi|d(ə)mi|полу
|le placement|plasmɑ̃|размещение
|difficilement|difisilmɑ̃|с трудом
|la grille|gʁij|решётка
|vieillir|vjejiʁ|стареть
|le abord|abɔʁ|причаливание
|exigeant|ɛgziʒɑ̃, -t|требовательный
|primitif|pʁimitif, -v|примитивный
|la lune|lyn|луна
|la mention|mɑ̃sjɔ̃|упоминание
|pertinent|pɛʁtinɑ̃, -t|надлежащий
|brièvement|bʁijɛvmɑ̃|кратко
