# 170 - Mots fréquents

|le réacteur|ʁeaktœʁ|реактор
|ajuster|aʒyste|прилаживать
|œuvrer|œvʁe|работать
|le sommeil|sɔmɛj|сон
|automatiquement|ɔtɔmatikmɑ̃|автоматически
|la balance|balɑ̃s|весы
|la dépression|depʁesjɔ̃|депрессия
|la pompe|pɔ̃p|помпа
|la contestation|kɔ̃tɛstasjɔ̃|спор
|le inconvénient|ɛ̃kɔ̃venjɑ̃|неудобство
|le frein|fʁɛ̃|тормоза
|la inspiration|ɛ̃spiʁasjɔ̃|вдохновение
|la candidature|kɑ̃didatyʁ|кандидатура
|le armement|aʁməmɑ̃|вооружение
|la épargne|epaʁɲ|бережливость
|iranien|iʁanjɛ̃, -jɛn|иранский
|conférer|kɔ̃feʁe|даровать
|stupide|stypid|глупый
|surpris|syʁpʁiz|удивлённый
|interpeller|ɛ̃tɛʁpəle|запрашивать
