# 173 - Mots fréquents

|superbe|sypɛʁb|великолепный
|gonfler|gɔ̃fle|надувать
|le missile|misil|ракета
|le minuit|minɥi|полночь
|la composante|kɔ̃pozɑ̃t|компонентa
|le veuf|vœf, -v|вдовец
|comparaître|kɔ̃paʁɛtʁ|предстать
|la trame|tʁam|нить
|le bain|bɛ̃|баня
|la sûreté|syʁte|безопасность
|la hâte|ˈɑt|поспешность
|instituer|ɛ̃stitɥe|учреждать
|le format|fɔʁma|формат
|la hiérarchie|ˈjeʁaʁʃi|иерархия
|la estimation|ɛstimasjɔ̃|оценка
|la mutation|mytasjɔ̃|изменение
|imminent|iminɑ̃, -t|неминуемый
|la héroïne|eʁɔin|героиня
|le esclave|ɛsklav|раб
|marocain|maʁɔkɛ̃, -ɛn|мароканский
