# 175 - Mots fréquents

|le faisceau|fɛso|пучок
|regagner|ʁ(ə)gaɲe|отыгрывать
|le dégât|degɑ|опустошение
|le pilier|pilje|столб
|le animateur|animatœʁ, -ʁis|ведущий
|multinational|myltinasjɔnal, -o|многонациональный
|méfier|mefje|опасаться
|étroitement|etʁwatmɑ̃|тесно
|le jouet|ʒwɛ|игрушка
|le formé|fɔʁme|сформированный
|complice|kɔ̃plis|причастный
|homosexuel|ɔmɔsɛksɥɛl|гомосексуальный
|la toile|twal|полотно
|laver|lave|мыть
|la empreinte|ɑ̃pʁɛ̃t|отпечаток
|faillir|fajiʁ|недоставать
|la curiosité|kyʁjozite|любопытство
|le passeport|pɑspɔʁ|паспорт
|creux|kʁø, -øz|пустой
|la livraison|livʁɛzɔ̃|доставка
