# 187 - Mots fréquents

|la vedette|vədɛt|знаменитость
|intervenant|ɛ̃tɛʁvənɑ̃, -t|вмешивающийся
|le séminaire|seminɛʁ|семинария
|contrer|kɔ̃tʁe|сопротивляться
|nerveux|nɛʁvø, -øz|нервный
|le assaut|aso|штурм
|le couteau|kuto|нож
|arbitraire|aʁbitʁɛʁ|произвольный
|vraisemblablement|vʁɛsɑ̃blabləmɑ̃|правдоподобно
|la propagation|pʁɔpagasjɔ̃|размножение
|masculin|maskylɛ̃, -in|мужской
|imiter|imite|имитировать
|embaucher|ɑ̃boʃe|нанимать
|primordial|pʁimɔʁdjal, -jo|первичный
|le arbitre|aʁbitʁ|арбитр
|le manteau|mɑ̃to|манто
|la implication|ɛ̃plikasjɔ̃|вовлечение
|grand|gʁɑ̃, gʁɑ̃d|большой
|le reflet|ʁ(ə)flɛ|отражение
|la requête|ʁəkɛt|просьба
