# 191 - Mots fréquents

|allonger|alɔ̃ʒe|удлинять
|le chauffeur|ʃofœʁ|шофёр
|la prospérité|pʁɔspeʁite|преуспевание
|la ambiguïté|ɑ̃bigɥite|двусмысленность
|le bourgeois|buʁʒwa, -z|буржуа
|touristique|tuʁistik|туристский
|obscur|ɔpskyʁ|трудноразличимый
|le cou|ku|шея
|la invention|ɛ̃vɑ̃sjɔ̃|изобретение
|la boucle|bukl|пряжка
|flou|flu|туманный
|redire|ʁ(ə)diʁ|redire
|consultatif|kɔ̃syltatif, -v|консультативный
|torturer|tɔʁtyʁe|пытать
|le carton|kaʁtɔ̃|картон
|effrayer|efʁeje|пугать
|la pitié|pitje|сострадание
|la complexité|kɔ̃plɛksite|сложность
|favori|favɔʁi, -t|любимый
|le noyau|nwajo|ядро
