# 202 - Mots fréquents

|modérer|mɔdeʁe|умерять
|volant|vɔlɑ̃, -t|летающий
|le porc|pɔʁ|свинья
|la appartenance|apaʁtənɑ̃s|принадлежность
|la émeute|emøt|мятеж
|constructif|kɔ̃stʁyktif, -v|конструктивный
|minime|minim|мельчайший
|le ralentissement|ʁalɑ̃tismɑ̃|замедление
|la mobilisation|mɔbilizasjɔ̃|мобилизация
|tâcher|tɑʃe|стараться
|le racisme|ʁasism|расизм
|la mairie|meʁi|мэрия
|la aptitude|aptityd|способность
|la fumée|fyme|дым
|le sauvetage|sov(ə)taʒ|спасение
|la récession|ʁesesjɔ̃|удаление
|convaincant|kɔ̃vɛ̃kɑ̃, -t|убедительный
|le sou|su|цент, су
|le analyste|analist|аналитик
|prétendu|pʁetɑ̃dy|мнимый
