# 207 - Mots fréquents

|le versant|vɛʁsɑ̃, -t|склон, сторона
|la réticence|ʁetisɑ̃s|недомолвка
|la grossesse|gʁosɛs|беременность
|égyptien|eʒipsjɛ̃, -jɛn|египтский
|le timbre|tɛ̃bʁ|колокол
|découper|dekupe|разрезать
|distributeur|distʁibytœʁ, -ʁis|дистрибутор
|le élargissement|elaʁʒismɑ̃|расширение
|dégrader|degʁade|смещать
|colonial|kɔlɔnjal, -jo|колониальный
|le pourparler|puʁpaʁle|переговоры
|la incidence|ɛ̃sidɑ̃s|падение
|le béton|betɔ̃|бетон
|fiable|fjabl|надёжный
|le génocide|ʒenɔsid|геноцид
|vingt|vɛ̃|двадцать
|épouvantable|epuvɑ̃tabl|страшный
|indifférent|ɛ̃difeʁɑ̃, -t|индифферентный
|audacieux|odasjø, -jøz|отважный
|la poudre|pudʁ|порошок
