# 214 - Mots fréquents

|le compatriote|kɔ̃patʁijɔt|соотечественник
|la affection|afɛksjɔ̃|привязанность
|le sel|sɛl|соль
|majoritaire|maʒɔʁitɛʁ|мажоритарный
|le redressement|ʁ(ə)dʁɛsmɑ̃|выпрямление
|le paradoxe|paʁadɔks|парадокс
|chiffrer|ʃifʁe|считать
|catastrophique|katastʁɔfik|катастрофический
|le magistrat|maʒistʁa, -t|магистрат
|le extrait|ɛkstʁɛ|экстракт
|le amant|amɑ̃, -t|любовник
|la farce|faʁs|фарш, фарс
|la compétitivité|kɔ̃petitivite|конкурентоспособность
|le enthousiaste|ɑ̃tuzjast|энтузиаст
|la quarantaine|kaʁɑ̃tɛn|около сорока
|sous|su|под
|le rat|ʁa|крыса
|le flot|flo|волна, вал
|mordre|mɔʁdʁ|кусать
|partiellement|paʁsjɛlmɑ̃|частично
