# 215 - Mots fréquents

|radioactif|ʁadjoaktif, -v|радиоактивный
|la passe|pɑs|проход
|indépendamment|ɛ̃depɑ̃damɑ̃|независимо
|la location|lɔkasjɔ̃|наём
|naïf|naif, -v|наивный
|retraité|ʁ(ə)tʁete|уволенный в отставку
|la innocence|inɔsɑ̃s|невиновность
|le bijou|biʒu|драгоценность
|la messe|mɛs|месса
|la coïncidence|kɔɛ̃sidɑ̃s|совпадение
|la torture|tɔʁtyʁ|пытка
|le protecteur|pʁɔtɛktœʁ, -ʁis|покровитель
|le rayonnement|ʁɛjɔnmɑ̃|излучение
|la récolte|ʁekɔlt|сбор
|la valise|valiz|чемодан
|le danseur|dɑ̃sœʁ, -øz|танцор
|la expertise|ɛkspɛʁtiz|экспертиза
|minier|minje, -jɛʁ|горный
|la vitrine|vitʁin|витрина
|ébranler|ebʁɑ̃le|колебать
