# 216 - Mots fréquents

|le crâne|kʁɑn|череп
|anéantir|aneɑ̃tiʁ|уничтожать
|vocal|vɔkal, -o|вокальный
|unilatéral|ynilateʁal, -o|односторонний
|combustible|kɔ̃bystibl|горючий
|économiser|ekɔnɔmize|экономить
|tisser|tise|ткать
|la poule|pul|курица
|la punition|pynisjɔ̃|наказание
|la hésitation|ezitasjɔ̃|нерешительность
|rentable|ʁɑ̃tabl|рентабельный
|loyal|lwajal, -o|лояльный
|le renfort|ʁɑ̃fɔʁ|подкрепление
|la cohérence|kɔeʁɑ̃s|связность
|la souris|suʁi|мышь
|bombarder|bɔ̃baʁde|бомбардировать
|éveiller|eveje|будить
|le semestre|s(ə)mɛstʁ|семестр
|croyant|kʁwajɑ̃, -t|верующий
|le réalisateur|ʁealizatœʁ, -ʁis|постановщик
